time T_d d2 
26.218802 282.345557 1.064613 
26.269614 282.345616 1.064544 
26.320426 282.345674 1.064475 
26.371236 282.345732 1.064406 
26.422048 282.345789 1.064337 
26.47286 282.345846 1.064268 
26.523672 282.345903 1.064199 
26.574484 282.345959 1.06413 
26.625296 282.346014 1.064061 
26.676108 282.34607 1.063992 
26.72692 282.346124 1.063923 
26.77773 282.346179 1.063854 
26.828542 282.346233 1.063785 
26.879354 282.346286 1.063716 
26.930166 282.34634 1.063647 
26.980978 282.346393 1.063578 
27.03179 282.346445 1.063509 
27.082602 282.346497 1.06344 
27.133414 282.346549 1.063371 
27.184226 282.3466 1.063302 
27.235036 282.346651 1.063233 
27.285848 282.346701 1.063164 
27.33666 282.346752 1.063096 
27.387472 282.346801 1.063027 
27.438284 282.346851 1.062958 
27.489096 282.3469 1.062889 
27.539908 282.346949 1.06282 
27.59072 282.346997 1.062751 
27.64153 282.347045 1.062682 
27.692342 282.347092 1.062613 
27.743154 282.34714 1.062544 
27.793966 282.347187 1.062475 
27.844778 282.347233 1.062406 
27.89559 282.347279 1.062337 
27.946402 282.347325 1.062268 
27.997214 282.347371 1.062199 
28.048026 282.347416 1.06213 
28.098836 282.347461 1.062061 
28.149648 282.347505 1.061992 
28.20046 282.347549 1.061923 
28.251272 282.347593 1.061854 
28.302084 282.347637 1.061785 
28.352896 282.34768 1.061716 
28.403708 282.347723 1.061647 
28.45452 282.347765 1.061578 
28.505332 282.347808 1.061509 
28.556142 282.34785 1.06144 
28.606954 282.347891 1.061371 
28.657766 282.347932 1.061302 
28.708578 282.347973 1.061233 
28.75939 282.348014 1.061164 
28.810202 282.348054 1.061095 
28.861014 282.348095 1.061026 
28.911826 282.348134 1.060957 
28.962636 282.348174 1.060888 
29.013448 282.348213 1.060819 
29.06426 282.348252 1.06075 
29.115072 282.348291 1.060681 
29.165884 282.348329 1.060612 
29.216696 282.348367 1.060543 
29.267508 282.348405 1.060474 
29.31832 282.348442 1.060405 
29.369132 282.348479 1.060336 
29.419942 282.348516 1.060267 
29.470754 282.348553 1.060198 
29.521566 282.348589 1.060129 
29.572378 282.348625 1.06006 
29.62319 282.348661 1.059991 
29.674002 282.348697 1.059922 
29.724814 282.348732 1.059854 
29.775626 282.348767 1.059785 
29.826436 282.348802 1.059716 
29.877248 282.348836 1.059647 
29.92806 282.348871 1.059578 
29.978872 282.348905 1.059509 
30.029684 282.348939 1.05944 
30.080496 282.348972 1.059371 
30.131308 282.349005 1.059302 
30.18212 282.349038 1.059233 
30.232932 282.349071 1.059164 
30.283742 282.349104 1.059095 
30.334554 282.349136 1.059026 
30.385366 282.349168 1.058957 
30.436178 282.3492 1.058888 
30.48699 282.349231 1.058819 
30.537802 282.349262 1.05875 
30.588614 282.349294 1.058681 
30.639426 282.349324 1.058612 
30.690238 282.349355 1.058543 
30.741048 282.349385 1.058474 
30.79186 282.349416 1.058405 
30.842672 282.349446 1.058336 
30.893484 282.349475 1.058267 
30.944296 282.349505 1.058198 
30.995108 282.349534 1.058129 
31.04592 282.349563 1.05806 
31.096732 282.349592 1.057991 
31.147542 282.349621 1.057922 
31.198354 282.349649 1.057853 
